build,gtf,n_reps,depth,method,sensitivity,precision,f1,spearmans,alu_sensitivity,alu_precision,erv_sensitivity,erv_precision,hat_sensitivity,hat_precision,line_sensitivity,line_precision,mir_sensitivity,mir_precision,other_sensitivity,other_precision,mins,mem,n_cpu,cpu
chm13,explorate,1,30,ervmap,0.000524884135294948,0.167449245008952,0.00104648796359396,-0.00585588423908726,0.0,0,0.003853556583354344,0.5719836400817996,0.0,0,0.0,0,0.0,0,0.0,0.0,4.0,11.44,36.0,22.0
chm13,explorate,1,30,explorate,0.959099486456412,0.999556928360337,0.978910368783635,0.930009994574352,0.9430008201665225,0.9989384871921212,0.9729741273010086,0.9991454575551314,0.9721368671677166,1.0,0.9719329037400276,0.9999494509460045,0.9799524386564847,1.0,0.8846237915615398,0.999943525757549,36.0,44.2,36.0,152.0
chm13,explorate,1,30,lions,0.809280485184809,0.675556782813424,0.736397089092711,0.66773145758065,0.8441324584890426,0.8206783144912642,0.7438810839557303,0.738671467777197,0.8900149450169313,0.5765965455962042,0.739792837124177,0.6573321206609065,0.9304562821591029,0.5611634814180845,0.8140753416102521,0.6068956847846583,89.0,10.475,36.0,339.5
chm13,explorate,1,30,squire,0.958777694467878,0.995176168226764,0.976637913902418,0.922619822142922,0.9522851371146095,0.9984816962840458,0.9587778287543933,0.9971671347509601,0.9716233855733293,0.9907326267753509,0.9653047562570927,0.9957357007303792,0.983832176883704,0.9921005312766615,0.8951593764832255,0.9881834257724034,18.5,50.36,36.0,30.5
chm13,explorate,1,30,te-saem,0.973341667382289,0.999783015922063,0.986385174715257,0.94843820924426,0.967946488123542,0.9996473465298239,0.9792759391752535,0.9997819775619746,0.9780067725519765,1.0,0.9813930096348003,0.9998018680023776,0.986028223325957,1.0,0.9045208713247234,0.9999896435303134,34.0,49.41,36.0,36.5
chm13,explorate,1,30,telescope,0.00220860062416422,0.325402892400817,0.00438742258170097,-0.0100399677863839,0.0,0,0.01489343820738665,0.9448474783672756,0.0,0,6.005116632330593e-05,1.0,0.0,0,0.00028103220004496515,0.004177885061739857,21.5,10.296997070312498,72.0,461.0
chm13,explorate,1,30,telocal,0.896346554406194,0.980542824782215,0.936556189391732,0.827475889658568,0.9401717243602222,0.9999329652929926,0.899892949107427,0.9999173322188492,0.8768752212700291,1.0,0.8871536224842486,0.9998308043713998,0.8917263149733963,0.9997732494860322,0.7673053383627688,0.749790223019629,16.0,80.1,72.0,19.0
chm13,explorate,1,30,tetools,0.618468954167566,0.999599189205286,0.764147131462415,0.428970851621405,0.7906389320602136,0.9997366963564224,0.7134962656184772,0.9991241033635203,0.4316380333114428,1.0,0.6054495068639165,0.9997813912083207,0.38035760332626034,0.998880203953367,0.4464571207314331,0.9998601369259495,2.5,12.555,36.0,17.5
chm13,explorate,1,30,texp,0.744079011527862,0.837542135899465,0.788049054107179,0.582685331436979,0.8698982929685879,0.9999853258128124,0.6229108198555295,0.9995467890557295,0.8228029068463312,1.0,0.6139146741166508,0.9999444253638193,0.9220866991719742,0.999998172217338,0.7054720091928756,0.24866080911673386,23.0,9.195,36.0,178.0
chm13,explorate,1,50,ervmap,0.000631723150229115,0.162657484169985,0.00125855835783073,-0.00124495461526324,0.0,0,0.004180058967650845,0.5256945895132651,0.0,0,0.0,0,0.0,0,0.0,0.0,5.5,13.205,36.0,35.5
chm13,explorate,1,50,explorate,0.956737707369129,0.999640604071247,0.977718730717348,0.925689694465046,0.9400179222450292,0.9989144666897949,0.9703417632158133,0.9998374025485011,0.9735945388073824,1.0,0.9662483630266363,0.9998193229083777,0.9845094279387453,1.0,0.8757768940226623,0.9999875533907675,31.5,46.980000000000004,36.0,165.5
chm13,explorate,1,50,lions,0.811904067575806,0.671451941194573,0.73502862295269,0.647790647971292,0.840845294261818,0.8151267601450809,0.7563938374652216,0.7347631618012482,0.8883165190617129,0.5722280768060573,0.7367983452800091,0.6499104672687335,0.9432829113653787,0.5618280921010004,0.8308192337249672,0.6084859403711534,127.5,9.235,36.0,534.5
chm13,explorate,1,50,squire,0.959207683406496,0.994878838332101,0.976717678741902,0.923752837983735,0.9494069958028246,0.9989010413413943,0.9656309953905569,0.9972253266352347,0.9756652028744152,0.990212177305388,0.9617904918875476,0.9947765530144635,0.9848093569724858,0.991913136621602,0.9079953999516741,0.9857148492199672,27.0,50.46000000000001,36.0,43.5
chm13,explorate,1,50,te-saem,0.972516842200602,0.99989247673392,0.986014682326384,0.948496235238131,0.9656901979106032,0.9998007683798603,0.9791404011461318,0.999865150586086,0.979711741335325,0.9999983318542441,0.9790206309639886,0.9999124983958039,0.9878971009571295,0.9999670678217628,0.9187415633987308,0.9999960451173018,47.5,50.66,36.0,54.0
chm13,explorate,1,50,telescope,0.00246991265589228,0.402451744828512,0.00490969371267161,0.00566411736828501,0.0,0,0.016330717162908518,0.9767522726143758,0.0,0,0.0,0,0.0,0,0.0,0.0,33.5,11.994194335937499,72.0,765.0
chm13,explorate,1,50,telocal,0.897321315107272,0.981639029676105,0.937588307826838,0.820305009700504,0.9498416485401795,0.9997531152820632,0.9074083302188447,0.9994758209850906,0.8828889931212115,1.0,0.8867459213355254,0.9994045593739367,0.8941809700619989,0.9999897668548429,0.7742197449625655,0.7648403834315364,15.5,78.825,72.0,23.5
chm13,explorate,1,50,tetools,0.609859457285989,0.999789901733861,0.757595215945295,0.422538503873229,0.7906625294874544,0.99991706268729,0.6914322494913002,0.9998390686156178,0.4365407652795233,0.999996256252059,0.5928250590534316,0.9995329462083349,0.36839927366338404,0.9999889609188931,0.4553175795606699,0.9998483990137957,3.0,13.809999999999999,36.0,26.0
chm13,explorate,1,50,texp,0.751260102927711,0.841231186284395,0.793704093548533,0.584675062050891,0.8641796360405625,0.9999772895083622,0.6355691208836842,0.9999712523145153,0.8421196278361316,1.0,0.6207178612662524,0.9999934275170145,0.9406110011936158,1.0,0.7152784464481341,0.2595297469435002,41.5,16.42,36.0,325.5
